Date,Which Room,RatorID,[Contributions & Attitude],[Cooperation with Others],"[Focus, Commitments]",[Team Role Fulfillment],[Ability to Communicate],[Accuracy],Rating,RateeID
10/29/21 9:58,Room 6,rator-01,4,4,4,4,4,3,3.83,ratee-01
10/29/21 9:58,Room 4,rator-02,3,3,3,3,3,2,2.83,ratee-02
10/29/21 9:58,Room 3,rator-03,4,3,3,3,3,3,3.17,ratee-03
10/29/21 9:58,Room 6,rator-04,2,4,4,3,4,2,3.17,ratee-04
10/29/21 9:58,Room 6,rator-05,4,3,4,4,3,4,3.67,ratee-05
10/29/21 9:58,Room 1,rator-06,3,3,3,3,2,1,2.5,ratee-06
10/29/21 9:59,Room 7,rator-07,2,3,3,2,2,2,2.33,ratee-07
10/29/21 9:59,Room 5,rator-08,3,4,3,3,4,3,3.33,ratee-08
10/29/21 9:59,Room 5,rator-09,4,4,4,4,4,3,3.83,ratee-10
10/29/21 9:59,Room 5,rator-10,2,3,2,2,3,2,2.33,ratee-11
10/29/21 9:59,Room 4,rator-11,4,4,4,4,3,4,3.83,ratee-12
10/29/21 9:59,Room 4,rator-12,3,3,3,2,4,3,3,ratee-13
10/29/21 10:00,Room 7,rator-13,4,4,4,4,4,4,4,ratee-15
10/29/21 10:00,Room 2,rator-14,4,4,3,3,3,2,3.17,ratee-16
10/29/21 10:00,Room 5,rator-15,3,3,4,3,4,2,3.17,ratee-17
10/29/21 10:01,Room 2,rator-16,3,4,4,3,4,3,3.5,ratee-18
10/29/21 10:01,Room 1,rator-17,3,3,3,4,3,3,3.17,ratee-19
10/29/21 10:01,Room 3,rator-18,3,3,2,3,3,3,2.83,ratee-20
10/29/21 10:01,Room 3,rator-19,4,4,4,3,4,3,3.67,ratee-21
10/29/21 10:02,Room 2,rator-20,3,2,2,2,3,1,2.17,ratee-22
10/29/21 10:02,Room 2,rator-21,3,3,3,1,1,3,2.33,ratee-23
10/29/21 10:02,Room 7,rator-22,4,4,4,4,3,3,3.67,ratee-24
10/29/21 10:02,Room 3,rator-23,3,2,2,3,3,2,2.5,ratee-25
10/29/21 10:02,Room 1,rator-24,4,3,4,4,3,3,3.5,ratee-26
10/29/21 10:03,Room 4,rator-25,4,4,4,4,4,2,3.67,ratee-27
10/29/21 10:03,Room 5,rator-26,2,2,2,2,2,2,2,ratee-28
10/29/21 10:03,Room 1,rator-27,3,2,3,3,2,3,2.67,ratee-29
10/29/21 10:03,Room 6,rator-28,3,3,2,2,3,2,2.5,ratee-30
10/29/21 10:03,Room 3,rator-29,4,3,3,4,4,3,3.5,ratee-31
10/29/21 10:03,Room 5,rator-30,4,4,4,4,4,3,3.83,ratee-32
10/29/21 10:04,Room 2,rator-31,3,2,3,2,3,1,2.33,ratee-33
10/29/21 10:04,Room 1,rator-32,4,3,4,3,2,2,3,ratee-34
10/29/21 10:05,Room 7,rator-33,3,3,3,3,2,2,2.67,ratee-35
10/29/21 10:05,Room 4,rator-34,4,4,4,4,4,4,4,ratee-36
10/29/21 10:06,Room 2,rator-35,3,4,3,3,2,2,2.83,ratee-37
11/12/21 9:20,Room 6,rator-06,4,4,4,4,4,3,3.83,ratee-06
11/12/21 9:20,Room 3,rator-08,3,4,3,4,3,4,3.5,ratee-08
11/12/21 9:20,Room 7,rator-07,3,4,3,3,3,3,3.17,ratee-07
11/12/21 9:20,Room 2,rator-13,4,4,4,4,4,3,3.83,ratee-15
11/12/21 9:20,Room 4,rator-21,4,4,3,4,3,3,3.5,ratee-23
11/12/21 9:20,Room 7,rator-20,4,4,4,3,3,2,3.33,ratee-22
11/12/21 9:21,Room 2,rator-29,4,4,3,3,4,2,3.33,ratee-31
11/12/21 9:21,Room 4,rator-36,4,4,3,4,3,3,3.5,ratee-09
11/12/21 9:21,Room 1,rator-19,4,4,4,4,4,4,4,ratee-21
11/12/21 9:21,Room 7,rator-33,4,4,4,4,4,3,3.83,ratee-35
11/12/21 9:21,Room 1,rator-12,4,4,4,3,4,3,3.67,ratee-13
11/12/21 9:22,Room 5,rator-28,4,4,4,4,3,3,3.67,ratee-30
11/12/21 9:22,Room 5,rator-11,4,4,4,4,4,4,4,ratee-12
11/12/21 9:22,Room 2,rator-14,4,3,3,4,3,3,3.33,ratee-16
11/12/21 9:22,Room 4,rator-02,3,3,3,3,3,3,3,ratee-02
11/12/21 9:22,Room 6,rator-10,3,4,3,3,4,3,3.33,ratee-11
11/12/21 9:22,Room 8,rator-37,3,3,4,3,4,3,3.33,ratee-14
11/12/21 9:22,Room 1,rator-15,3,3,3,3,3,2,2.83,ratee-17
