customer_id,account_open_date,risk_segment
CUST0001,2021-10-16,low
CUST0002,2020-04-24,low
CUST0003,2020-01-26,high
CUST0004,2022-01-29,high
CUST0005,2020-10-08,low
CUST0006,2020-09-07,high
CUST0007,2020-08-16,low
CUST0008,2020-05-22,high
CUST0009,2022-01-24,high
CUST0010,2020-04-14,high
CUST0011,2021-11-23,high
CUST0012,2022-01-28,medium
CUST0013,2022-07-02,low
CUST0014,2021-07-12,medium
CUST0015,2020-03-30,high
CUST0016,2021-08-27,medium
CUST0017,2021-03-08,low
CUST0018,2020-02-02,low
CUST0019,2020-01-31,high
CUST0020,2020-04-05,medium
