transaction_id,customer_id,transaction_date,amount,transaction_type
TXN207175,CUST0011,2023-05-23,785.84,credit
TXN733052,CUST0003,2023-07-14,492.61,credit
TXN496922,CUST0009,2023-01-23,3651.36,debit
TXN705397,CUST0003,2023-10-10,1472.96,credit
TXN910620,CUST0007,2023-12-27,357.08,debit
TXN498591,CUST0010,2023-02-10,4278.04,debit
TXN270555,CUST0009,2023-08-21,3182.07,credit
TXN835911,CUST0012,2023-07-01,1055.44,credit
TXN271339,CUST0003,2023-11-08,3178.54,debit
TXN817870,CUST0015,2023-07-14,1357.04,debit
TXN944151,CUST0011,2023-01-29,1152.95,debit
TXN694731,CUST0011,2023-07-25,1346.03,debit
TXN774079,CUST0011,2023-04-19,3280.64,credit
TXN881177,CUST0015,2023-03-15,1331.75,debit
TXN711878,CUST0018,2023-10-03,1321.08,credit
TXN634277,CUST0013,2023-07-05,1104.41,debit
TXN260265,CUST0016,2023-02-16,3781.35,debit
TXN503457,CUST0006,2023-12-15,2116.58,debit
TXN680099,CUST0013,2023-11-02,4980.65,credit
TXN905934,CUST0001,2023-12-15,3606.4,credit
TXN575763,CUST0011,2023-02-27,1474.57,debit
TXN632342,CUST0001,2023-05-15,4859.72,debit
TXN260263,CUST0004,2023-11-17,1499.24,debit
TXN728038,CUST0012,2023-03-24,2701.5,debit
TXN972064,CUST0011,2023-09-08,107.19,credit
TXN189814,CUST0010,2023-05-03,299.05,debit
TXN234628,CUST0016,2023-02-05,4890.14,debit
TXN322086,CUST0016,2023-10-09,833.98,credit
TXN518373,CUST0018,2023-12-20,1013.74,credit
TXN226882,CUST0012,2023-08-13,4499.07,credit
TXN716886,CUST0008,2023-04-26,329.49,debit
TXN174441,CUST0018,2023-04-28,2946.32,debit
TXN446479,CUST0002,2023-04-28,346.33,debit
TXN324643,CUST0003,2023-09-21,1197.64,credit
TXN354801,CUST0018,2023-03-09,3619.53,credit
TXN790993,CUST0016,2023-07-28,960.15,debit
TXN864491,CUST0014,2023-07-01,2123.66,credit
TXN163556,CUST0002,2023-12-11,3270.74,debit
TXN360735,CUST0013,2023-06-23,4004.96,debit
TXN542374,CUST0007,2023-04-08,2686.07,debit
TXN564656,CUST0006,2023-05-23,2318.51,debit
TXN197793,CUST0018,2023-02-20,262.44,debit
TXN324130,CUST0008,2023-03-27,2038.01,credit
TXN509386,CUST0013,2023-01-31,831.54,debit
TXN262316,CUST0009,2023-08-21,1433.39,credit
TXN707314,CUST0007,2023-06-01,1096.33,debit
