Country,StartDate,EndDate,Area Code,Area Code (M49),Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
Cyprus,1/1/2000,1/31/2000,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,63.939164,X,base year is 2015
Cyprus,1/1/2001,1/31/2001,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,64.320908,X,base year is 2015
Cyprus,1/1/2002,1/31/2002,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,71.48922,X,base year is 2015
Cyprus,1/1/2003,1/31/2003,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,71.695241,X,base year is 2015
Cyprus,1/1/2004,1/31/2004,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,76.070154,X,base year is 2015
Cyprus,1/1/2005,1/31/2005,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,78.172778,X,base year is 2015
Cyprus,1/1/2006,1/31/2006,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,80.136866,X,base year is 2015
Cyprus,1/1/2007,1/31/2007,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,85.562068,X,base year is 2015
Cyprus,1/1/2008,1/31/2008,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,89.293358,X,base year is 2015
Cyprus,1/1/2009,1/31/2009,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,97.684857,X,base year is 2015
Cyprus,1/1/2010,1/31/2010,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,95.756764,X,base year is 2015
Cyprus,1/1/2011,1/31/2011,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,97.840978,X,base year is 2015
Cyprus,1/1/2012,1/31/2012,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,102.493381,X,base year is 2015
Cyprus,1/1/2013,1/31/2013,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,103.031998,X,base year is 2015
Cyprus,1/1/2014,1/31/2014,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,98.832346,X,base year is 2015
Cyprus,1/1/2015,1/31/2015,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,101.673746,X,base year is 2015
Cyprus,1/1/2016,1/31/2016,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,101.43,X,base year is 2015
Cyprus,1/1/2017,1/31/2017,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,102.35,X,base year is 2015
Cyprus,1/1/2018,1/31/2018,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,96.44,X,base year is 2015
Cyprus,1/1/2019,1/31/2019,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,103.18,X,base year is 2015
Cyprus,1/1/2020,1/31/2020,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,104.12,X,base year is 2015
Cyprus,1/1/2021,1/31/2021,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,99.33,X,base year is 2015
Cyprus,1/1/2022,1/31/2022,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,102.83,X,base year is 2015
Cyprus,1/1/2023,1/31/2023,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2023,2023,,113.9,X,base year is 2015
Cyprus,2/1/2000,2/29/2000,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2000,2000,,64.181541,X,base year is 2015
Cyprus,2/1/2001,2/28/2001,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2001,2001,,64.829901,X,base year is 2015
Cyprus,2/1/2002,2/28/2002,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2002,2002,,70.471235,X,base year is 2015
Cyprus,2/1/2003,2/28/2003,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2003,2003,,73.397943,X,base year is 2015
Cyprus,2/1/2004,2/29/2004,50,'196,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2004,2004,,76.100451,X,base year is 2015
